,timestamp,robot_name,status code,status,xy_coordinate,GPS_coordinate
703,1648560548.083449,tb3_1,1,ACTIVE,"(-16.927518821062087, -34.91938951028138)","(103.81487737247556, 1.3154956278258871)"
704,1648560548.299563,tb3_1,1,ACTIVE,"(-16.88590345812207, -34.889542414069595)","(103.8148811160148, 1.3154983120382289)"
705,1648560548.50478,tb3_1,1,ACTIVE,"(-16.84434047081412, -34.86010380471538)","(103.81488485484259, 1.3155009595145086)"
706,1648560548.704868,tb3_1,1,ACTIVE,"(-16.802769280284842, -34.830398851453424)","(103.81488859440827, 1.315503630943632)"
707,1648560548.929472,tb3_1,1,ACTIVE,"(-16.761994110724213, -34.80102060714987)","(103.81489226236735, 1.3155062729911058)"
708,1648560549.14845,tb3_1,1,ACTIVE,"(-16.726925828052458, -34.77596200209217)","(103.8148954169594, 1.315508526564323)"
709,1648560549.349037,tb3_1,1,ACTIVE,"(-16.68253949625602, -34.74416259103327)","(103.81489940976314, 1.3155113863524317)"
710,1648560549.585877,tb3_1,1,ACTIVE,"(-16.64205334658907, -34.71393096893662)","(103.81490305172319, 1.3155141051458743)"
711,1648560549.783446,tb3_1,1,ACTIVE,"(-16.59311483457705, -34.677742186005325)","(103.81490745402145, 1.3155173596793552)"
712,1648560549.978516,tb3_1,1,ACTIVE,"(-16.55949556338252, -34.652769870281126)","(103.81491047826664, 1.3155196054923)"
713,1648560550.179706,tb3_1,1,ACTIVE,"(-16.511311681192794, -34.61687214010958)","(103.81491481268166, 1.31552283385076)"
714,1648560550.386295,tb3_1,1,ACTIVE,"(-16.479181756081637, -34.59320686809737)","(103.8149177029517, 1.3155249621185174)"
715,1648560550.600699,tb3_1,1,ACTIVE,"(-16.447167035557666, -34.570578539187146)","(103.81492058285848, 1.315526997131863)"
716,1648560550.799641,tb3_1,1,ACTIVE,"(-16.42620330696635, -34.557057716089)","(103.81492246866554, 1.3155282130880983)"
